method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed
sindy_weak_weighted,vpt_restricted_lt,4.335165174613688,4.238193655300947,4.428995669966724,10000,2026
sindy_weak,vpt_restricted_lt,4.732374997061075,4.6687443932963255,4.7920438585828045,10000,2026
panda_zero_shot,vpt_restricted_lt,2.207048848346316,2.1036850568145766,2.309434274426121,10000,2026
sindy_weak_weighted,forecast_instability,0.0046875,0.0,0.0140625,10000,2026
sindy_weak,forecast_instability,0.0015625,0.0,0.00625,10000,2026
panda_zero_shot,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak_weighted,restricted_nrmse_auc_native,0.0140921818953687,0.008172674740467387,0.02218514056798035,10000,2026
sindy_weak,restricted_nrmse_auc_native,0.003682366217062358,0.002145920663083192,0.005775415616813159,10000,2026
panda_zero_shot,restricted_nrmse_auc_native,0.0954890083643407,0.08621498415441907,0.10560323152606507,10000,2026
sindy_weak_weighted,restricted_nrmse_auc_0_1LT,0.011031852958596232,0.005855145851882115,0.01846992893472392,10000,2026
sindy_weak,restricted_nrmse_auc_0_1LT,0.0024920878794149727,0.0015576140231588157,0.0037011124112036626,10000,2026
panda_zero_shot,restricted_nrmse_auc_0_1LT,0.08109921822415775,0.07368117869431043,0.08921397775368865,10000,2026
sindy_weak_weighted,restricted_nrmse_auc_0_2LT,0.032616967588603135,0.02075178900894234,0.046536242544081806,10000,2026
sindy_weak,restricted_nrmse_auc_0_2LT,0.01182729326696263,0.006318524854916674,0.018988324586138614,10000,2026
panda_zero_shot,restricted_nrmse_auc_0_2LT,0.19665235915151794,0.17970946871995555,0.21425132563498034,10000,2026
sindy_weak_weighted,restricted_nrmse_auc_0_5LT,0.16840246214897797,0.1374218653296402,0.2122096394999695,10000,2026
sindy_weak,restricted_nrmse_auc_0_5LT,0.06773534224622094,0.05340747208736663,0.08653269888963135,10000,2026
panda_zero_shot,restricted_nrmse_auc_0_5LT,0.622708853169839,0.6010743082040683,0.6448915389481686,10000,2026
sindy_weak_weighted,mean_coordinate_point_crps_native,0.012167127122802355,0.007097730535539874,0.019152735332771197,10000,2026
sindy_weak,mean_coordinate_point_crps_native,0.0032747829861965983,0.0018964322983648114,0.005163225829585371,10000,2026
panda_zero_shot,mean_coordinate_point_crps_native,0.08309389407320256,0.07488525575631198,0.09215882774515663,10000,2026
