method,data_seed,trajectory_count,context_steps,separate_training_trajectories,forecast_horizon_lt,stored_prediction_horizon_lt,native_prediction_steps,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,forecast_instability_fraction,mean_restricted_nrmse_auc_native,mean_restricted_nrmse_auc_0_1LT,mean_restricted_nrmse_auc_0_2LT,mean_restricted_nrmse_auc_0_5LT,mean_coordinate_point_crps_native,adaptation_wall_time_seconds,forecast_wall_time_seconds,vector_field_evaluations,surrogate_evaluations,parameter_count,inference_peak_gpu_memory_bytes,probabilistic,forecast_sample_count
panda_zero_shot,1,128,512,0,5.0,5.005616158244254,128,2.060149590447556,2.0232554362246398,0.0,0.0,0.1049456795492772,0.0878698537935021,0.2151167520407451,0.6350661056388367,0.0913035921450092,0.0,1.5858569759875536,0,40,21354624,127336960,False,1
sindy_weak,1,128,512,0,5.0,5.005616158244254,128,4.69581026806252,5.0,0.8046875,0.0,0.0056272284036454,0.0040188436777223,0.0188013664682223,0.0698929614650051,0.0050294774261822,0.3442919757217169,1.7020955551415682,2856960,0,30,0,False,1
sindy_weak_weighted,1,128,512,0,5.0,5.005616158244254,128,4.241156153340087,5.0,0.5390625,0.0,0.0225256951305112,0.0190262767561933,0.0494026301447049,0.1570085154509479,0.01950811233078,0.351210294291377,1.6973378509283066,2856960,0,30,0,False,1
panda_zero_shot,2,128,512,0,5.0,5.005616158244254,128,2.317135249292225,2.192240653245659,0.0234375,0.0,0.096260578428836,0.0790650446377804,0.185490743453294,0.6056340370959116,0.0833585563588949,0.0,1.530319411307573,0,40,21354624,127336960,False,1
sindy_weak,2,128,512,0,5.0,5.005616158244254,128,4.757670027144335,5.0,0.78125,0.0078125,0.0035412324398846,0.0025146397745072,0.0078496444212879,0.0823091561108319,0.0030843745283049,0.342015964910388,1.7006899006664753,2856960,0,30,0,False,1
sindy_weak_weighted,2,128,512,0,5.0,5.005616158244254,128,4.340986296763177,5.0,0.578125,0.0078125,0.0195943936913504,0.0162454430369224,0.0370072385446118,0.1724996343271275,0.0170254358359157,0.3544947355985641,1.673456268385053,2856960,0,30,0,False,1
panda_zero_shot,3,128,512,0,5.0,5.005616158244254,128,2.2299472752374667,2.1145987967765416,0.0078125,0.0,0.08285090197063,0.0720244715892607,0.1925023522941741,0.6016065785355924,0.0719790631665397,0.0,1.496320554986596,0,40,21354624,127336960,False,1
sindy_weak,3,128,512,0,5.0,5.005616158244254,128,4.7156378088903725,5.0,0.78125,0.0,0.0044160713785974,0.0025767321814534,0.0106529992581176,0.0672182990383135,0.0039781743315168,0.3439511004835367,1.7023945730179548,2856960,0,30,0,False,1
sindy_weak_weighted,3,128,512,0,5.0,5.005616158244254,128,4.354177171550932,5.0,0.5546875,0.015625,0.0077671218195264,0.0050636299551875,0.0249743514518537,0.213913835910972,0.0068746992286814,0.3488102499395609,1.706817653030157,2856960,0,30,0,False,1
panda_zero_shot,4,128,512,0,5.0,5.005616158244254,128,2.154204707015843,2.0232554362246398,0.0,0.0,0.0927774954680249,0.0819324813796606,0.21096530556123,0.6487950293279411,0.0805187131336156,0.0,1.528869055211544,0,40,21354624,127336960,False,1
sindy_weak,4,128,512,0,5.0,5.005616158244254,128,4.716680753132693,5.0,0.7734375,0.0,0.003022011902151,0.0019709835903491,0.0153351363128433,0.0652610896490302,0.0026692347336135,0.342611163854599,1.7479513883590698,2856960,0,30,0,False,1
sindy_weak_weighted,4,128,512,0,5.0,5.005616158244254,128,4.330858187882072,5.0,0.5390625,0.0,0.0122577467112053,0.0090218088578444,0.0358195606852738,0.1684016454603679,0.010137382349201,0.3511946424841881,1.6923325899988413,2856960,0,30,0,False,1
panda_zero_shot,5,128,512,0,5.0,5.005616158244254,128,2.2738074197384903,2.1876734852180637,0.0,0.0,0.1006103864049353,0.084604239720585,0.1791866424081465,0.6224425152509134,0.0883095455619533,0.0,1.4745550118386743,0,40,21354624,127336960,False,1
sindy_weak,5,128,512,0,5.0,5.005616158244254,128,4.776076128075455,5.0,0.8203125,0.0,0.0018052869610334,0.0013792401730429,0.006497319874342,0.0539952049679241,0.0016126539113656,0.3391917813569307,1.695952096953988,2856960,0,30,0,False,1
sindy_weak_weighted,5,128,512,0,5.0,5.005616158244254,128,4.408648063532174,4.998240911094532,0.5,0.0,0.0083159521242501,0.0058021061868336,0.0158810571165715,0.1301886795954745,0.0072900058694337,0.3623422551900148,1.7085408177226782,2856960,0,30,0,False,1
