run_id,method,track,data_seed,model_seed,noise_level,forecast_horizon_lt,full_forecast_horizon_lt,full_horizon_vpt_censoring_fraction,full_horizon_restricted_mean_vpt_lt,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,mean_normalized_squared_error,inference_wall_time_seconds,inference_seconds_per_trajectory,vector_field_evaluations,surrogate_evaluations,integration_internal_step,training_vector_field_evaluations,training_wall_time_seconds,parameter_count,optimizer_updates,peak_gpu_memory_bytes,parameter_relative_error,coefficient_relative_error,median_nrmse_auc_0_1LT,median_nrmse_auc_0_2LT,median_nrmse_auc_0_5LT,median_pinn_in_domain_auc_0_2LT,median_pinn_extrapolation_auc_2_5LT,stability_fraction,rq_mmd,covariance_relative_error,wasserstein_x,wasserstein_y,wasserstein_z,lyapunov_spectrum,lyapunov_spectrum_relative_error
sindy_strong__d1__m0__n0__k1,sindy_strong,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.391671716703021,8.391671716703021,8.458395187106166,0.0,1.1125011607246322,12.879612801596522,0.1006219750124728,12516864,0,0.001,0,0.981480629183352,60,1,0,nan,0.0008145381085442,7.441021487926262e-05,0.0001729273065935,0.0022138387010049,0.0001729273065935,0.003419622907316,1.0,0.0002420166569572,0.0050995368622081,0.0881911113213712,0.0920032846757078,0.0144661002615946,"[0.9035832521265414, 0.05169045496458935, -14.619161593080229]",0.0043082711302842
sindy_strong__d1__m0__n0__k16,sindy_strong,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.158175251292217,8.158175251292217,8.275708466002362,0.0,1.146456877242104,12.833303701132536,0.1002601851650979,12516864,0,0.001,0,1.0131982481107116,60,1,0,nan,0.0006118988050132,6.921505118060963e-05,0.000157895936288,0.0022815826484714,0.000157895936288,0.003619420721059,1.0,0.0002430273014433,0.0060768678610069,0.1437953474115005,0.1532724291392758,0.0166714294761342,"[0.9247803029287238, 0.03203174052788468, -14.619035743698364]",0.0033616019860408
sindy_strong__d1__m0__n0__k4,sindy_strong,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.273282157987703,8.273282157987703,8.481231027244142,0.0,1.113958344334913,13.177482990548016,0.1029490858636563,12516864,0,0.001,0,0.9935510186478496,60,1,0,nan,0.000598900930501,6.810201711600824e-05,0.0001560400692709,0.0020988487793543,0.0001560400692709,0.0032588376685842,1.0,0.0001441724148447,0.0065490254171306,0.1129797589392921,0.1263407895229426,0.0301309138366293,"[0.9474442558474448, 0.015317190957987057, -14.62525526146856]",0.0038784644925987
sindy_strong__d1__m0__n0__k64,sindy_strong,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.226540047705283,8.226540047705283,8.257439793891981,0.0,1.1281181055193534,13.089806644245982,0.1022641144081717,12516864,0,0.001,0,1.0983785102143884,60,1,0,nan,0.000607246832541,7.254070598943397e-05,0.0001623043577023,0.0023557056414451,0.0001623043577023,0.0038054869404669,1.0,0.000191157978882,0.0023775755170208,0.0209004673095784,0.0207456454658733,0.0269521715922117,"[1.0239827674087971, -0.04573431970733866, -14.640451302033386]",0.0091590105552214
sindy_weighted__d1__m0__n0__k1,sindy_weighted,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.138051167170628,8.138051167170628,8.225469617698817,0.0,1.1468288515661034,12.967512276023626,0.1013086896564345,12516864,0,0.001,0,0.9700376614928246,60,1,0,nan,0.0008305058763011,7.04483880477646e-05,0.0002004819292532,0.0024388953848756,0.0002004819292532,0.0038510802609171,1.0,0.0003166623875694,0.0044820589586819,0.0861600089868065,0.0887199529628792,0.0426111717772879,"[1.0205986743281246, -0.03440615595919434, -14.649836209852925]",0.0090299167136006
sindy_weighted__d1__m0__n0__k16,sindy_weighted,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.192143563497458,8.192143563497458,8.38988766669224,0.0,1.126804521110465,12.5914465803653,0.0983706764091039,12516864,0,0.001,0,1.0048810532316566,60,1,0,nan,0.0006114659036929,7.28865701575473e-05,0.0001657539985259,0.0022892738803211,0.0001657539985259,0.0036541849577682,1.0,0.0001086935732046,0.0061076718992759,0.1620281612264407,0.1704864391068894,0.0413273357601638,"[1.1700744914157797, -0.10678661608252507, -14.725627191900152]",0.021459914889239
sindy_weighted__d1__m0__n0__k4,sindy_weighted,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.346856380432243,8.346856380432243,8.494932531326928,0.0,1.0947621662259777,13.1997506711632,0.1031230521184625,12516864,0,0.001,0,0.9788223057985306,60,1,0,nan,0.0006438239729466,6.637985882386849e-05,0.0001439440232935,0.0021006329613917,0.0001439440232935,0.003371350511943,1.0,0.0004236734608227,0.0035815866536716,0.0481129292062029,0.0528630365239037,0.0616777766631928,"[0.8951021834044928, -0.018115811094170584, -14.539546268021073]",0.0034462758842613
sindy_weighted__d1__m0__n0__k64,sindy_weighted,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,8.111861313012387,8.111861313012387,8.161529265312485,0.0,1.1182413317515372,13.427030835300684,0.1048986784007866,12516864,0,0.001,0,1.086765918880701,60,1,0,nan,0.0006071044110425,7.439619796870757e-05,0.0001605816108448,0.0026154578893513,0.0001605816108448,0.0040566006457304,1.0,0.0010141070141322,0.0101894461658045,0.2052855273594155,0.215106118728811,0.0413211961595969,"[0.9182960679144455, -0.028097333701710036, -14.552244950130817]",0.0029081162179464
sindy_strong__d2__m0__n0__k1,sindy_strong,state_only_dynamics,2,0,0.0,20.92676390244085,20.92676390244085,0.0,8.185863707459514,8.185863707459514,8.353350322471478,0.0,1.0959816918007377,12.802893998101354,0.1000226093601668,12165632,0,0.001,0,0.8718078015372157,60,1,0,nan,0.0006156786228306,7.8350732416718e-05,0.0002318179564572,0.0032391556133488,0.0002318179564572,0.0051617623236775,1.0,0.0012720357987414,0.0024589701279949,0.0330709538969994,0.0322063105333237,0.0310737630355265,"[0.9755463146793679, -0.008624741892113878, -14.629166875539022]",0.0053873555640977
sindy_strong__d2__m0__n0__k16,sindy_strong,state_only_dynamics,2,0,0.0,20.92676390244085,20.92676390244085,0.0,8.23781524377341,8.23781524377341,8.252872625864386,0.0,1.1067403388084274,12.23446061462164,0.0955817235517315,12165632,0,0.001,0,1.0145837254822254,60,1,0,nan,0.0006014504881176,7.000544208336897e-05,0.0001796857411398,0.0031174156801641,0.0001796857411398,0.0049683014144178,1.0,0.0007004567877135,0.0054125076848884,0.0860883984518706,0.0904086056944082,0.0420983746740301,"[0.9861402810146349, -0.014236606213436845, -14.634103535326458]",0.00622180194104
