method,shot_count,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed
panda,0,vpt_restricted_lt,2.207048848346316,2.1036850568145766,2.309434274426121,10000,2026
panda,1,vpt_restricted_lt,2.20824772995356,2.1037500996139125,2.3119475937201988,10000,2026
panda,4,vpt_restricted_lt,2.2162260016017656,2.1075963261058486,2.3226509556683372,10000,2026
panda,16,vpt_restricted_lt,2.279278187088323,2.1846446563259874,2.3728032781940342,10000,2026
sindy_weak,1,vpt_restricted_lt,4.825726428894685,4.706681810437543,4.925857890605185,10000,2026
sindy_weak,4,vpt_restricted_lt,4.908384958914692,4.872251160197567,4.941154200559481,10000,2026
sindy_weak,16,vpt_restricted_lt,4.915953769077201,4.881696260488229,4.948024695545819,10000,2026
sindy_weak_weighted,1,vpt_restricted_lt,4.619022888671724,4.257224240144042,4.837165374211865,10000,2026
sindy_weak_weighted,4,vpt_restricted_lt,4.904974914330107,4.872096674221996,4.936382407494537,10000,2026
sindy_weak_weighted,16,vpt_restricted_lt,4.916487345033222,4.882460409885924,4.945788611410821,10000,2026
panda,0,forecast_instability,0.0,0.0,0.0,10000,2026
panda,1,forecast_instability,0.0,0.0,0.0,10000,2026
panda,4,forecast_instability,0.0,0.0,0.0,10000,2026
panda,16,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak,1,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak,4,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak,16,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak_weighted,1,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak_weighted,4,forecast_instability,0.0,0.0,0.0,10000,2026
sindy_weak_weighted,16,forecast_instability,0.0,0.0,0.0,10000,2026
panda,0,restricted_nrmse_auc_native,0.0954890083643407,0.08621498415441907,0.10560323152606507,10000,2026
panda,1,restricted_nrmse_auc_native,0.09548547246203658,0.08621244029139281,0.10559826069867434,10000,2026
panda,4,restricted_nrmse_auc_native,0.09538161445673603,0.08604298828315926,0.10553066770031369,10000,2026
panda,16,restricted_nrmse_auc_native,0.09580696936996272,0.08672480157165455,0.10580207777334369,10000,2026
sindy_weak,1,restricted_nrmse_auc_native,0.0016879627707835367,0.0008814061496845998,0.0031937676172361655,10000,2026
sindy_weak,4,restricted_nrmse_auc_native,0.0009210506820106487,0.0007733728367018093,0.0010967081696201689,10000,2026
sindy_weak,16,restricted_nrmse_auc_native,0.001004487736356819,0.0008134778023605443,0.0012753305240064856,10000,2026
sindy_weak_weighted,1,restricted_nrmse_auc_native,0.004001157347849613,0.0016110946842978343,0.007902348787220289,10000,2026
sindy_weak_weighted,4,restricted_nrmse_auc_native,0.0010767849780355257,0.0008155968102616807,0.0014073303563144138,10000,2026
sindy_weak_weighted,16,restricted_nrmse_auc_native,0.0010451662613909895,0.0007942784758996149,0.001363113552341523,10000,2026
panda,0,restricted_nrmse_auc_0_1LT,0.08109921822415775,0.07368117869431043,0.08921397775368865,10000,2026
panda,1,restricted_nrmse_auc_0_1LT,0.08109491581802217,0.07367453465155362,0.08921273067586337,10000,2026
panda,4,restricted_nrmse_auc_0_1LT,0.08101150020946003,0.0735108381785198,0.0892452156410978,10000,2026
panda,16,restricted_nrmse_auc_0_1LT,0.08154053806894253,0.07417575012884299,0.0896808143978917,10000,2026
sindy_weak,1,restricted_nrmse_auc_0_1LT,0.0011758994262421904,0.0007147991861948902,0.001783930434214846,10000,2026
sindy_weak,4,restricted_nrmse_auc_0_1LT,0.0007014068039524494,0.0006105297679747855,0.0008113600005072533,10000,2026
sindy_weak,16,restricted_nrmse_auc_0_1LT,0.0007216826870344703,0.0006322420351031598,0.0008254644457444296,10000,2026
sindy_weak_weighted,1,restricted_nrmse_auc_0_1LT,0.002744956875187503,0.0012815583824851704,0.005265479685441408,10000,2026
sindy_weak_weighted,4,restricted_nrmse_auc_0_1LT,0.0007948162501086127,0.0006667853692529837,0.0009457994939240853,10000,2026
sindy_weak_weighted,16,restricted_nrmse_auc_0_1LT,0.0007352027577420168,0.0006174191960068346,0.0008766427902888089,10000,2026
panda,0,restricted_nrmse_auc_0_2LT,0.19665235915151794,0.17970946871995555,0.21425132563498034,10000,2026
panda,1,restricted_nrmse_auc_0_2LT,0.19665755312022243,0.17971374935986614,0.21426592859547589,10000,2026
panda,4,restricted_nrmse_auc_0_2LT,0.1964134958442783,0.17977313963692482,0.2138735548958963,10000,2026
panda,16,restricted_nrmse_auc_0_2LT,0.1949569443571348,0.1783315675619656,0.21247409613661372,10000,2026
sindy_weak,1,restricted_nrmse_auc_0_2LT,0.004351048649432426,0.0023777929566138347,0.00690810404519666,10000,2026
sindy_weak,4,restricted_nrmse_auc_0_2LT,0.0027796126311527966,0.0018338689342545457,0.004208825629194197,10000,2026
sindy_weak,16,restricted_nrmse_auc_0_2LT,0.002871147696751615,0.001947566370862756,0.004547286438910379,10000,2026
