method,shot_count,adaptation,data_seed,trajectory_count,observed_training_state_count,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,forecast_instability_fraction,mean_restricted_nrmse_auc_native,mean_restricted_nrmse_auc_0_1LT,mean_restricted_nrmse_auc_0_2LT,mean_restricted_nrmse_auc_0_5LT,mean_coordinate_point_crps_native,adaptation_wall_time_seconds,forecast_wall_time_seconds,optimizer_updates,vector_field_evaluations,surrogate_evaluations,parameter_count,trainable_parameter_count,inference_peak_gpu_memory_bytes,probabilistic,forecast_sample_count
panda,0,zero_shot,1,128,0,2.060149590447556,2.0232554362246398,0.0,0.0,0.1049456795492772,0.0878698537935021,0.2151167520407451,0.6350661056388367,0.0913035921450092,0.0,1.586353985592723,0,0,40,21354624,0,127336960,False,1
panda,1,prediction_head_only,1,128,640,2.060149590447556,2.0232554362246398,0.0,0.0,0.1049499768130849,0.0878742687593692,0.2151181343970484,0.6350149773616459,0.0913065683503056,0.3924849294126034,0.8076812494546175,1,0,40,21354624,65536,127336960,False,1
panda,16,prediction_head_only,1,128,10240,2.173768990425997,2.04152410833502,0.0234375,0.0,0.104970882620742,0.0884318995761286,0.211541770108641,0.6293158418036411,0.0912039648076808,1.0413309279829264,0.7325952537357807,50,0,40,21354624,65536,127336960,False,1
panda,4,prediction_head_only,1,128,2560,2.0597927804454006,2.0278226042522345,0.0,0.0,0.1049891848998159,0.0880230824798837,0.2142955890773247,0.6342972649490517,0.091314136511608,0.3345041926950216,0.7366654351353645,1,0,40,21354624,65536,127336960,False,1
sindy_weak,1,fit_from_scratch,1,128,640,4.93676746750609,5.0,0.9375,0.0,0.0006205973214121,0.0005255381409237,0.001966870185994,0.0179641251108378,0.000544294698029,0.0036320108920335,1.1638821717351675,1,2856960,0,30,30,0,False,1
sindy_weak,16,fit_from_scratch,1,128,10240,4.906982027562142,5.0,0.9296875,0.0,0.001004388207308,0.0007404562907332,0.0029391211657251,0.0268926926404306,0.000884609058905,0.0483175367116928,1.1688578315079212,1,2856960,0,30,30,0,False,1
sindy_weak,4,fit_from_scratch,1,128,2560,4.906669093796269,5.0,0.921875,0.0,0.0010350554994574,0.000747263700925,0.0033943947870253,0.0283029330090256,0.0009138171691401,0.0123988632112741,1.1970119141042233,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,1,fit_from_scratch,1,128,640,4.799274073395709,5.0,0.78125,0.0,0.0019965771759447,0.0014917258985999,0.004851638729486,0.0648905225524926,0.0017558775171822,0.0037652943283319,1.1710999049246311,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,16,fit_from_scratch,1,128,10240,4.89355487618907,5.0,0.90625,0.0,0.0012747205959657,0.0009108250800223,0.0034557366196398,0.0347264091004674,0.0011215551714298,0.0470325518399477,1.1698431055992842,1,2856960,0,30,30,0,False,1
sindy_weak_weighted,4,fit_from_scratch,1,128,2560,4.878360065277352,5.0,0.8671875,0.0,0.001140768978209,0.0008549061269487,0.0027554029512161,0.0390517409994543,0.0010000963398917,0.0126731991767883,1.1977535635232923,1,2856960,0,30,30,0,False,1
panda,0,zero_shot,2,128,0,2.317135249292225,2.192240653245659,0.0234375,0.0,0.096260578428836,0.0790650446377804,0.185490743453294,0.6056340370959116,0.0833585563588949,0.0,1.5129608120769262,0,0,40,21354624,0,127336960,False,1
panda,1,prediction_head_only,2,128,640,2.3233437433297377,2.215076493383634,0.0234375,0.0,0.0962484338230544,0.0790510683181343,0.185481393778472,0.605544728736128,0.0833472980687502,0.372825525701046,0.7443608678877354,1,0,40,21354624,65536,127336960,False,1
