method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
panda_zero_shot,vpt_restricted_lt,2.2168557859277183,2.121869276317137,2.3086277942288773,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,nrmse_auc_0_1LT,0.08176286257980211,0.07576576651803113,0.08782540369531273,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,nrmse_auc_0_2LT,0.19775087343730643,0.18290455677998785,0.21290590385688515,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,nrmse_auc_0_5LT,0.6250596696922334,0.6061306829550936,0.6443624355436534,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,stability_fraction,1.0,1.0,1.0,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,rq_mmd,0.0572814105669893,0.054253784832784036,0.060054015290233534,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,wasserstein_x,2.909818691347958,2.83248521532422,3.0057463192829115,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,wasserstein_y,3.209421308135077,3.1363696427929573,3.2873981473170506,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,wasserstein_z,3.7950204625763537,3.7235276946831313,3.870292950615041,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,covariance_relative_error,0.6858800482586056,0.6755106370376364,0.6980400485640003,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,training_wall_time_seconds,0.0,0.0,0.0,10000,2026,pretrained_sequence_forecasting,0.0
panda_zero_shot,inference_seconds_per_trajectory,0.02052555272336268,0.019588886924660324,0.021891328232862415,10000,2026,pretrained_sequence_forecasting,0.0
sindy_weak,vpt_restricted_lt,6.968328073303086,6.854442884054979,7.094050553309366,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,vpt_restricted_lt,6.9329753382894825,6.822461408878413,7.049746406835017,10000,2026,state_only_dynamics,0.0
sindy_weak,nrmse_auc_0_1LT,0.0006785844694303545,0.0006100435139485966,0.0007496848181565118,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,nrmse_auc_0_1LT,0.0006892160136326996,0.0006196675031360166,0.0007627238874122881,10000,2026,state_only_dynamics,0.0
sindy_weak,nrmse_auc_0_2LT,0.002891590777756295,0.0019255417885757837,0.004247337592097371,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,nrmse_auc_0_2LT,0.0029289074058870797,0.0019441668365001816,0.004307422168315984,10000,2026,state_only_dynamics,0.0
sindy_weak,nrmse_auc_0_5LT,0.022111890352696652,0.017972169669386164,0.026941283642880412,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,nrmse_auc_0_5LT,0.02231864182684992,0.018199762473058757,0.027009071002953217,10000,2026,state_only_dynamics,0.0
sindy_weak,stability_fraction,1.0,1.0,1.0,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,stability_fraction,1.0,1.0,1.0,10000,2026,state_only_dynamics,0.0
sindy_weak,rq_mmd,0.0007713043032690801,0.0005046633241524401,0.0010085811798922202,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,rq_mmd,0.00063585291440144,0.0004330638326132,0.00083864199618968,10000,2026,state_only_dynamics,0.0
sindy_weak,wasserstein_x,0.13592871057733624,0.05033479242993358,0.26687586694594956,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,wasserstein_x,0.15731643834504208,0.07810352159391452,0.30965444641291645,10000,2026,state_only_dynamics,0.0
sindy_weak,wasserstein_y,0.14303745296007217,0.05208680472812398,0.2815960448299679,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,wasserstein_y,0.16490244866143997,0.0809305244952033,0.3232607378274293,10000,2026,state_only_dynamics,0.0
sindy_weak,wasserstein_z,0.09120138117798728,0.057996005243992024,0.12312395452417602,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,wasserstein_z,0.07329390193291724,0.03867403625323745,0.11167489129656497,10000,2026,state_only_dynamics,0.0
sindy_weak,covariance_relative_error,0.007388809731771419,0.0046426654357861015,0.010851796216681583,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,covariance_relative_error,0.0077368434560182,0.0049566681107656,0.012196122202155378,10000,2026,state_only_dynamics,0.0
sindy_weak,lyapunov_spectrum_relative_error,0.007878213082376039,0.00456189003358048,0.011194536131171603,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,lyapunov_spectrum_relative_error,0.00447233517938602,0.00236788229914324,0.007397107444476298,10000,2026,state_only_dynamics,0.0
sindy_weak,coefficient_relative_error,0.0004233181359917801,0.00040435007293706,0.00044291947486788005,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,coefficient_relative_error,0.0004334208870461,0.0004194680562340001,0.00044737371785820006,10000,2026,state_only_dynamics,0.0
sindy_weak,training_wall_time_seconds,1.2023849179347357,1.1583341454031566,1.2306063206276547,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,training_wall_time_seconds,1.2187614598621925,1.1883169890660792,1.2331953749402116,10000,2026,state_only_dynamics,0.0
sindy_weak,inference_seconds_per_trajectory,0.034448435148806265,0.033673857346099435,0.03501774580926087,10000,2026,state_only_dynamics,0.0
sindy_weak_weighted,inference_seconds_per_trajectory,0.034022266136404695,0.03276045902435723,0.035120886737737785,10000,2026,state_only_dynamics,0.0
