run_id,method,track,data_seed,model_seed,noise_level,forecast_context_steps,forecast_origin_time,forecast_horizon_lt,full_forecast_horizon_lt,full_horizon_vpt_censoring_fraction,full_horizon_restricted_mean_vpt_lt,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,mean_normalized_squared_error,inference_wall_time_seconds,inference_seconds_per_trajectory,vector_field_evaluations,surrogate_evaluations,integration_internal_step,training_vector_field_evaluations,training_wall_time_seconds,parameter_count,optimizer_updates,peak_gpu_memory_bytes,inference_peak_gpu_memory_bytes,parameter_relative_error,coefficient_relative_error,median_nrmse_auc_0_1LT,median_nrmse_auc_0_2LT,median_nrmse_auc_0_5LT,median_pinn_in_domain_auc_0_2LT,median_pinn_extrapolation_auc_2_5LT,stability_fraction,rq_mmd,covariance_relative_error,wasserstein_x,wasserstein_y,wasserstein_z,lyapunov_spectrum,lyapunov_spectrum_relative_error
panda_zero_shot__d1__m0__n0,panda_zero_shot,pretrained_sequence_forecasting,1,0,0.0,512,5.11,16.852850021826,16.852850021826,0.0,2.0500875483867604,2.0500875483867604,2.018688268197044,0.0,1.1555441322486946,3.380770182237029,0.0264122670487267,0,120,nan,0,0.0,21354624,0,0,128077312,nan,nan,0.0596267305943756,0.1583766037721373,0.64281240650534,0.1583766037721373,0.9229274320675036,1.0,0.0621610944783594,0.6978132710231794,2.9333930145101164,3.290736794053644,3.897713229951712,nan,nan
panda_zero_shot__d1__m1__n0,panda_zero_shot,pretrained_sequence_forecasting,1,1,0.0,512,5.11,16.852850021826,16.852850021826,0.0,2.046091276362615,2.046091276362615,2.0049867641142587,0.0,1.1688160856910663,2.572030084207654,0.0200939850328722,0,120,nan,0,0.0,21354624,0,0,128077312,nan,nan,0.0593859451187914,0.1620542167986744,0.6384484726154065,0.1620542167986744,0.9126093530752616,1.0,0.0520384662121491,0.6685129087102157,2.7163413623787624,3.04360689233735,3.686717917027323,nan,nan
panda_zero_shot__d1__m2__n0,panda_zero_shot,pretrained_sequence_forecasting,1,2,0.0,512,5.11,16.852850021826,16.852850021826,0.0,2.100897292693756,2.100897292693756,2.027822604252234,0.0,1.1360676665864882,2.619738858193159,0.020466709829634,0,120,nan,0,0.0,21354624,0,0,128077312,nan,nan,0.0610336304351254,0.1622516147943944,0.615840693236764,0.1622516147943944,0.9099515706330514,1.0,0.063694250062896,0.6956943644139421,2.926042672258622,3.249708662913691,3.894648544052892,nan,nan
sindy_weak__d1__m0__n0,sindy_weak,state_only_dynamics,1,0,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.03900499853012,7.03900499853012,6.91012522575142,0.0,1.0683795388497443,4.517962882295251,0.0352965850179316,9812480,0,0.001,0,1.070783143863082,30,1,0,0,nan,0.0004176748922938,0.0004398314544487,0.0012279079219816,0.0122446722324656,0.0012279079219816,0.0180450556378236,1.0,0.0005955599143012,0.0031459174907633,0.0507921462954502,0.0563589629769601,0.038598110760198,"[1.0804959933754497, -0.06613706933539054, -14.682041379950265]",0.0141181590033004
sindy_weak__d1__m1__n0,sindy_weak,state_only_dynamics,1,1,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.03900499853012,7.03900499853012,6.91012522575142,0.0,1.0683795388497443,4.4853656850755215,0.0350419194146525,9812480,0,0.001,0,1.220991088077426,30,1,0,0,nan,0.0004176748922938,0.0004398314544487,0.0012279079219816,0.0122446722324656,0.0012279079219816,0.0180450556378236,1.0,0.0005955599143012,0.0031459174907633,0.0507921462954502,0.0563589629769601,0.038598110760198,"[1.0804959933754497, -0.06613706933539054, -14.682041379950265]",0.0141181590033004
sindy_weak__d1__m2__n0,sindy_weak,state_only_dynamics,1,2,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.03900499853012,7.03900499853012,6.91012522575142,0.0,1.0683795388497443,4.270704699680209,0.0333648804662516,9812480,0,0.001,0,1.1038003843277693,30,1,0,0,nan,0.0004176748922938,0.0004398314544487,0.0012279079219816,0.0122446722324656,0.0012279079219816,0.0180450556378236,1.0,0.0005955599143012,0.0031459174907633,0.0507921462954502,0.0563589629769601,0.038598110760198,"[1.0804959933754497, -0.06613706933539054, -14.682041379950265]",0.0141181590033004
sindy_weak_weighted__d1__m0__n0,sindy_weak_weighted,state_only_dynamics,1,0,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.024732598443886,7.024732598443886,6.9238267298342056,0.0,1.0629170010317857,4.528420884162188,0.035378288157517,9812480,0,0.001,0,1.222971810027957,30,1,0,0,nan,0.0004480717350038,0.0004349779153648,0.0012265015892909,0.0121658237594453,0.0012265015892909,0.0178502333044404,1.0,0.0004009300922154,0.0048094217523557,0.0862730252450345,0.0792890809848279,0.054466272569963,"[0.9122842671022291, 0.030142906552419826, -14.610255770743548]",0.0027383453053871
sindy_weak_weighted__d1__m1__n0,sindy_weak_weighted,state_only_dynamics,1,1,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.024732598443886,7.024732598443886,6.9238267298342056,0.0,1.0629170010317857,4.604628320783377,0.0359736587561201,9812480,0,0.001,0,1.2249073218554258,30,1,0,0,nan,0.0004480717350038,0.0004349779153648,0.0012265015892909,0.0121658237594453,0.0012265015892909,0.0178502333044404,1.0,0.0004009300922154,0.0048094217523557,0.0862730252450345,0.0792890809848279,0.054466272569963,"[0.9122842671022291, 0.030142906552419826, -14.610255770743548]",0.0027383453053871
sindy_weak_weighted__d1__m2__n0,sindy_weak_weighted,state_only_dynamics,1,2,0.0,512,5.11,16.852850021826,16.852850021826,0.0,7.024732598443886,7.024732598443886,6.9238267298342056,0.0,1.0629170010317857,4.515686225146055,0.0352787986339535,9812480,0,0.001,0,1.2363910842686892,30,1,0,0,nan,0.0004480717350038,0.0004349779153648,0.0012265015892909,0.0121658237594453,0.0012265015892909,0.0178502333044404,1.0,0.0004009300922154,0.0048094217523557,0.0862730252450345,0.0792890809848279,0.054466272569963,"[0.9122842671022291, 0.030142906552419826, -14.610255770743548]",0.0027383453053871
panda_zero_shot__d2__m0__n0,panda_zero_shot,pretrained_sequence_forecasting,2,0,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,2.35466056622701,2.35466056622701,2.2470466695768003,0.0,1.1478692816013774,2.3717710077762604,0.018529460998252,0,112,nan,0,0.0,21354624,0,0,128015872,nan,nan,0.0540204767059387,0.1474609482452061,0.6322148029892494,0.1474609482452061,0.943631405353972,1.0,0.0557541989299199,0.6837578797095384,2.9057520837881943,3.269116526311387,3.810095683537676,nan,nan
panda_zero_shot__d2__m1__n0,panda_zero_shot,pretrained_sequence_forecasting,2,1,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,2.331682002088172,2.331682002088172,2.233345165494015,0.0,1.172891589054665,2.5043902788311243,0.0195655490533681,0,112,nan,0,0.0,21354624,0,0,128015872,nan,nan,0.0535472503368475,0.1432727961630138,0.6287808581515881,0.1432727961630138,0.9410457242540896,1.0,0.0494168241324448,0.6635384580373652,2.8045153754502365,3.0826896523399223,3.6457370376059353,nan,nan
panda_zero_shot__d2__m2__n0,panda_zero_shot,pretrained_sequence_forecasting,2,2,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,2.3269721100597147,2.3269721100597147,2.2379123335216105,0.0,1.1588025125862844,2.5194451566785574,0.0196831652865512,0,112,nan,0,0.0,21354624,0,0,128015872,nan,nan,0.0545046523912799,0.1484756460924366,0.6284516961661626,0.1484756460924366,0.9331683702050126,1.0,0.0525000359604843,0.6855959140227692,2.966117662608048,3.263592090541145,3.8167396950014183,nan,nan
sindy_weak__d2__m0__n0,sindy_weak,state_only_dynamics,2,0,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.916619167790657,6.916619167790657,6.777677352951162,0.0,1.0329733489817956,4.389169318601489,0.0342903853015741,9461248,0,0.001,0,1.2346485443413258,30,1,0,0,nan,0.0003895484091578,0.0003242025747698,0.0009890115677639,0.0110004006835463,0.0009890115677639,0.0167555885363472,1.0,0.0009251306155519,0.0048408589577493,0.0390658127597635,0.0358558617467299,0.0602320743856474,"[0.9108294426668571, -0.035789211116167174, -14.542803326687286]",0.0037231812900107
sindy_weak__d2__m1__n0,sindy_weak,state_only_dynamics,2,1,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.916619167790657,6.916619167790657,6.777677352951162,0.0,1.0329733489817956,4.357258876785636,0.0340410849748877,9461248,0,0.001,0,1.2299152575433254,30,1,0,0,nan,0.0003895484091578,0.0003242025747698,0.0009890115677639,0.0110004006835463,0.0009890115677639,0.0167555885363472,1.0,0.0009251306155519,0.0048408589577493,0.0390658127597635,0.0358558617467299,0.0602320743856474,"[0.9108294426668571, -0.035789211116167174, -14.542803326687286]",0.0037231812900107
sindy_weak__d2__m2__n0,sindy_weak,state_only_dynamics,2,2,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.916619167790657,6.916619167790657,6.777677352951162,0.0,1.0329733489817956,4.387249818071723,0.0342753892036853,9461248,0,0.001,0,1.2210600208491087,30,1,0,0,nan,0.0003895484091578,0.0003242025747698,0.0009890115677639,0.0110004006835463,0.0009890115677639,0.0167555885363472,1.0,0.0009251306155519,0.0048408589577493,0.0390658127597635,0.0358558617467299,0.0602320743856474,"[0.9108294426668571, -0.035789211116167174, -14.542803326687286]",0.0037231812900107
sindy_weak_weighted__d2__m0__n0,sindy_weak_weighted,state_only_dynamics,2,0,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.832840179284458,6.832840179284458,6.773110184923567,0.0,1.00981567626027,4.370094545185566,0.0341413636342622,9461248,0,0.001,0,1.226163575425744,30,1,0,0,nan,0.0004149041688351,0.0003235745811026,0.0009893932939998,0.0111519812077602,0.0009893932939998,0.0170466174296808,1.0,0.0006818621969852,0.0055029201088464,0.0732051501334223,0.0778658366469618,0.1018593545608319,"[0.9236195323132669, -0.04745451604277455, -14.543832954990828]",0.0043239896064136
sindy_weak_weighted__d2__m1__n0,sindy_weak_weighted,state_only_dynamics,2,1,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.832840179284458,6.832840179284458,6.773110184923567,0.0,1.00981567626027,4.379733148962259,0.0342166652262676,9461248,0,0.001,0,1.2349149696528912,30,1,0,0,nan,0.0004149041688351,0.0003235745811026,0.0009893932939998,0.0111519812077602,0.0009893932939998,0.0170466174296808,1.0,0.0006818621969852,0.0055029201088464,0.0732051501334223,0.0778658366469618,0.1018593545608319,"[0.9236195323132669, -0.04745451604277455, -14.543832954990828]",0.0043239896064136
sindy_weak_weighted__d2__m2__n0,sindy_weak_weighted,state_only_dynamics,2,2,0.0,512,5.11,16.259118178238637,16.259118178238637,0.0,6.832840179284458,6.832840179284458,6.773110184923567,0.0,1.00981567626027,3.8164723496884103,0.0298161902319407,9461248,0,0.001,0,1.2171906735748053,30,1,0,0,nan,0.0004149041688351,0.0003235745811026,0.0009893932939998,0.0111519812077602,0.0009893932939998,0.0170466174296808,1.0,0.0006818621969852,0.0055029201088464,0.0732051501334223,0.0778658366469618,0.1018593545608319,"[0.9236195323132669, -0.04745451604277455, -14.543832954990828]",0.0043239896064136
panda_zero_shot__d3__m0__n0,panda_zero_shot,pretrained_sequence_forecasting,3,0,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,2.231917925485392,2.231917925485392,2.1191659648041368,0.0,1.1574370578220343,2.654036182910204,0.0207346576789859,0,120,nan,0,0.0,21354624,0,0,128078336,nan,nan,0.0546784696466186,0.1403822625145249,0.5819278358217245,0.1403822625145249,0.8688537542606227,1.0,0.0586000303598868,0.6789119650996653,2.868857861606708,3.1338101359945334,3.791553566994722,nan,nan
panda_zero_shot__d3__m1__n0,panda_zero_shot,pretrained_sequence_forecasting,3,1,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,2.272808351732454,2.272808351732454,2.142001804942112,0.0,1.1654571125603803,2.711243361234665,0.0211815887596458,0,120,nan,0,0.0,21354624,0,0,128078336,nan,nan,0.0536502931436536,0.1392057438409444,0.59133146521582,0.1392057438409444,0.8629650521611869,1.0,0.0530298399072379,0.6663890190327055,2.821490001094624,3.07356066050354,3.6511258337998607,nan,nan
panda_zero_shot__d3__m2__n0,panda_zero_shot,pretrained_sequence_forecasting,3,2,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,2.2034444873133525,2.2034444873133525,2.1100316287489465,0.0,1.1635094838798454,2.50065921805799,0.019536400141078,0,120,nan,0,0.0,21354624,0,0,128078336,nan,nan,0.0545741321061523,0.1409220433841198,0.6082864459697347,0.1409220433841198,0.8943411220917896,1.0,0.059670984506726,0.6752515210184982,2.879728624268822,3.122736433020299,3.659794700121604,nan,nan
sindy_weak__d3__m0__n0,sindy_weak,state_only_dynamics,3,0,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.887003937611721,6.887003937611721,6.800513193089138,0.0,1.0547295320935708,4.549424489960074,0.035542378827813,9839616,0,0.001,0,1.2225072123110294,30,1,0,0,nan,0.0004562622412954,0.00039592530463,0.0012449848789484,0.0126898342075145,0.0012449848789484,0.0195970224045843,1.0,0.0009619609691067,0.0076460149060399,0.0719580440392405,0.0760043741932399,0.1139536195537186,"[0.9437133661655434, 0.01203750143961212, -14.62354022341302]",0.0035880804685743
sindy_weak__d3__m1__n0,sindy_weak,state_only_dynamics,3,1,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.887003937611721,6.887003937611721,6.800513193089138,0.0,1.0547295320935708,4.508510634303093,0.0352227393304929,9839616,0,0.001,0,1.2290709409862757,30,1,0,0,nan,0.0004562622412954,0.00039592530463,0.0012449848789484,0.0126898342075145,0.0012449848789484,0.0195970224045843,1.0,0.0009619609691067,0.0076460149060399,0.0719580440392405,0.0760043741932399,0.1139536195537186,"[0.9437133661655434, 0.01203750143961212, -14.62354022341302]",0.0035880804685743
sindy_weak__d3__m2__n0,sindy_weak,state_only_dynamics,3,2,0.0,512,5.11,16.898521702101952,16.898521702101952,0.0,6.887003937611721,6.887003937611721,6.800513193089138,0.0,1.0547295320935708,4.357744755223393,0.0340448809001827,9839616,0,0.001,0,1.2294430993497372,30,1,0,0,nan,0.0004562622412954,0.00039592530463,0.0012449848789484,0.0126898342075145,0.0012449848789484,0.0195970224045843,1.0,0.0009619609691067,0.0076460149060399,0.0719580440392405,0.0760043741932399,0.1139536195537186,"[0.9437133661655434, 0.01203750143961212, -14.62354022341302]",0.0035880804685743
